input,output,type,IE
" In harmony, they jumped up and down in excitement."," in unison, they jumped up and down in excitement.",prepositional_phrase,in unison
" She's been in the spotlight for years, and she's loving every minute of it."," she's been in the limelight for years, and she's loving every minute of it.",prepositional_phrase,in the limelight
" She's been in the public eye for years, and she's loving every minute of it."," she's been in the limelight for years, and she's loving every minute of it.",prepositional_phrase,in the limelight
" She's been in the glare for years, and she's loving every minute of it."," she's been in the limelight for years, and she's loving every minute of it.",prepositional_phrase,in the limelight
" He's been in the spotlight since he was a child, and he's used to the attention."," he's been in the limelight since he was a child, and he's used to the attention.",prepositional_phrase,in the limelight
" He's been in the public eye since he was a child, and he's used to the attention."," he's been in the limelight since he was a child, and he's used to the attention.",prepositional_phrase,in the limelight
" He's been in the glare since he was a child, and he's used to the attention."," he's been in the limelight since he was a child, and he's used to the attention.",prepositional_phrase,in the limelight
" She's been in the spotlight since she was a teenager, and she's used to the attention."," she's been in the limelight since she was a teenager, and she's used to the attention.",prepositional_phrase,in the limelight
" She's been in the public eye since she was a teenager, and she's used to the attention."," she's been in the limelight since she was a teenager, and she's used to the attention.",prepositional_phrase,in the limelight
" She's been in the glare since she was a teenager, and she's used to the attention."," she's been in the limelight since she was a teenager, and she's used to the attention.",prepositional_phrase,in the limelight
" He's been in the spotlight for a while, and he's enjoying the attention."," he's been in the limelight for a while, and he's enjoying the attention.",prepositional_phrase,in the limelight
" He's been in the public eye for a while, and he's enjoying the attention."," he's been in the limelight for a while, and he's enjoying the attention.",prepositional_phrase,in the limelight
" He's been in the glare for a while, and he's enjoying the attention."," he's been in the limelight for a while, and he's enjoying the attention.",prepositional_phrase,in the limelight
 I've been working consecutively for the past 12 hours and I'm exhausted., i've been working on the trot for the past 12 hours and i'm exhausted.,prepositional_phrase,on the trot
 I've been working continuously for the past 12 hours and I'm exhausted., i've been working on the trot for the past 12 hours and i'm exhausted.,prepositional_phrase,on the trot
 I've been eating junk food continuously for the past week and I feel terrible., i've been eating junk food on the trot for the past week and i feel terrible.,prepositional_phrase,on the trot
 I've been eating junk food consecutively for the past week and I feel terrible., i've been eating junk food on the trot for the past week and i feel terrible.,prepositional_phrase,on the trot
 I've been studying continuously for the past month and I'm finally starting to feel confident., i've been studying on the trot for the past month and i'm finally starting to feel confident.,prepositional_phrase,on the trot
